City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,kapaa,22.0752,-159.319,26.18,78,20,6.17,US,-36000
87,tautira,-17.7333,-149.15,24.01,92,100,10.33,PF,-36000
88,smithers,54.7804,-127.1743,-9.82,57,75,0.0,CA,-28800
89,hambantota,6.1241,81.1185,24.19,100,40,1.03,LK,19800
90,honiara,-9.4333,159.95,25.16,87,63,1.3,SB,39600
91,saldanha,-33.0117,17.9442,18.03,92,81,4.97,ZA,7200
92,nome,64.5011,-165.4064,1.04,86,100,10.8,US,-32400
93,lubao,14.9167,120.55,26.84,84,18,2.02,PH,28800
94,port hardy,50.6996,-127.4199,3.1,93,75,1.54,CA,-28800
95,vestmannaeyjar,63.4427,-20.2734,6.55,81,20,12.86,IS,0
96,kolo,52.2002,18.6387,6.29,76,0,3.27,PL,3600
97,dingle,10.9995,122.6711,24.33,94,77,2.66,PH,28800
98,dudinka,69.4058,86.1778,-5.93,96,100,4.95,RU,25200
99,san quintin,30.4833,-115.95,18.55,66,0,3.59,MX,-28800
100,khandyga,62.6667,135.6,-20.79,100,99,0.75,RU,32400
101,alyangula,-13.8483,136.4192,26.99,77,5,1.43,AU,34200
102,klaksvik,62.2266,-6.589,8.51,85,89,8.98,FO,0
103,malangwa,26.8568,85.5581,21.09,67,32,1.78,NP,20700
104,san cristobal,7.7669,-72.225,28.1,61,68,2.41,VE,-14400
105,san felipe,10.3399,-68.7425,29.81,55,97,2.92,VE,-14400
106,cayenne,4.9333,-52.3333,27.02,83,75,2.57,GF,-10800
107,esperance,-33.8667,121.9,14.84,82,81,6.03,AU,28800
108,saint-philippe,-21.3585,55.7679,22.77,83,66,3.6,RE,14400
109,beboto,8.2668,16.939,24.77,39,52,1.31,TD,3600
110,huron,41.1501,-82.5499,20.54,57,18,7.92,US,-18000
111,mishelevka,52.8575,103.1719,-5.15,96,91,1.67,RU,28800
112,kiama,-34.6833,150.8667,15.56,87,98,2.54,AU,39600
113,tiksi,71.6872,128.8694,-16.71,93,100,10.56,RU,32400
114,suhut,38.5311,30.5458,11.9,43,73,1.56,TR,10800
115,krasnoborsk,61.5598,45.934,-2.32,90,66,3.23,RU,10800
116,golden,39.7555,-105.2211,8.8,45,75,4.12,US,-25200
117,harper,4.375,-7.7169,26.32,82,96,2.67,LR,0
118,lorengau,-2.0226,147.2712,26.96,80,100,0.98,PG,36000
119,zhezkazgan,47.8043,67.7144,0.62,68,69,2.25,KZ,21600
120,ilulissat,69.2167,-51.1,-18.05,96,50,2.69,GL,-10800
121,kendari,-3.945,122.4989,24.11,92,98,1.26,ID,28800
122,toamasina,-18.1667,49.3833,23.0,88,40,1.54,MG,10800
123,lakes entrance,-37.8811,147.981,12.31,85,92,1.93,AU,39600
124,provideniya,64.3833,-173.3,1.96,99,100,4.48,RU,43200
125,souillac,-20.5167,57.5167,23.21,73,40,2.57,MU,14400
126,chokurdakh,70.6333,147.9167,-14.74,94,100,6.58,RU,39600
127,zhangye,38.9342,100.4517,3.67,34,67,1.24,CN,28800
128,palencia,42.4167,-4.5,11.55,76,98,2.92,ES,3600
129,yakeshi,49.2833,120.7333,-11.78,98,63,1.63,CN,28800
